Base_Model,Stereotype,Fusion,Dataset_Name,Sigma,Round,InitAcc,InitF1,InitFairness,FinalAcc,FinalBaseAcc,FinalF1,FinalBaseF1,FinalFairness,FinalBaseFairness,Ngram,TrainEpoch
TextRCNN,RandomMask,SUM_Tanh,HyperPartisan,0.5,1,0,0,0,0.7692307692307693,0.7692307692307693,0.7610879686351384,0.7610879686351384,17.560699720148808,17.560699720148808
TextRCNN,Idiom,SUM_Tanh,HyperPartisan,1.15,1,0,0,0,0.8,0.7538461538461538,0.7790849673202613,0.746588693957115,18.017881822127766,17.547373489006755
TextCNN,RandomMask,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.7538461538461538,0.7538461538461538,0.7357723577235773,0.7357723577235773,17.303533872339987,17.303533872339987
TextCNN,Idiom,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.7538461538461538,0.7538461538461538,0.7357723577235773,0.7357723577235773,17.303533872339987,17.303533872339987
TextRCNN,Normal,SUM_Tanh,HyperPartisan,0.55,1,0,0,0,0.7692307692307693,0.7692307692307693,0.7610879686351384,0.7610879686351384,17.69915335795503,17.69915335795503
TextCNN,Normal,SUM_Tanh,HyperPartisan,0.3,1,0,0,0,0.7538461538461538,0.7846153846153846,0.7186147186147186,0.7595137420718816,18.26216122137726,18.099484880623635
TextRCNN,RandomMask,SUM_Tanh,Amazon,0.0,1,0,0,0,0.73,0.7233333333333334,0.7296365113096497,0.7230255839822024,16.16900614640075,16.15142338369919
TextRCNN,RandomMask,SUM_Tanh,Economy,0.05,1,0,0,0,0.7969798657718121,0.7919463087248322,0.5513360500202196,0.44977515709223026,20.40117503567042,21.47941273649145
TextRCNN,Idiom,SUM_Tanh,Amazon,1.0,1,0,0,0,0.7316666666666667,0.7366666666666667,0.731337555171752,0.7365934981939427,16.203866227999878,16.197504416423115
TextRCNN,Idiom,SUM_Tanh,Economy,2.0,1,0,0,0,0.7013422818791947,0.7483221476510067,0.5782325906842867,0.5819304152637487,16.377088077446416,17.823067261607562
TextRCNN,RandomMask,SUM_Tanh,SCIERC,0.0,1,0,0,0,0.7238493723849372,0.7252440725244073,0.6149578127751951,0.5974620701786978,36.47144963025367,37.15696530026844
TextCNN,RandomMask,SUM_Tanh,SCIERC,0.2,1,0,0,0,0.5718270571827058,0.601115760111576,0.39889094111253204,0.39348678718541735,37.34641915441903,38.79242366552503
TextCNN,RandomMask,SUM_Tanh,Amazon,1.3,1,0,0,0,0.7166666666666667,0.7183333333333334,0.7165123233760604,0.7181070359260628,16.2247723739603,16.217679291206284
TextCNN,RandomMask,SUM_Tanh,Economy,1.35,1,0,0,0,0.7802013422818792,0.7684563758389261,0.5571085786246291,0.5565476190476191,19.474272393821003,19.100330414528916
TextCNN,Idiom,SUM_Tanh,ARC,0.0,1,0,0,0,0.65625,0.640625,0.5153032153032152,0.5018165768015933,41.04194011441772,41.328030345646134
TextCNN,Idiom,SUM_Tanh,Twitter,1.0,1,0,0,0,0.8860294117647058,0.9080882352941176,0.8115459401470622,0.8186811721728928,18.772402231648076,19.546626911265015
TextCNN,Idiom,SUM_Tanh,Amazon,0.3,1,0,0,0,0.71,0.715,0.7097387648883995,0.7149992083311342,16.171722858150467,16.22607832487451
TextCNN,Noun,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.7538461538461538,0.7538461538461538,0.7357723577235773,0.7357723577235773,17.303533872339987,17.303533872339987
TextRCNN,Idiom,SUM_Tanh,Twitter,0.4,1,0,0,0,0.9044117647058824,0.9154411764705882,0.8355654761904763,0.8455117915792073,18.683972638133138,19.019570532218914
TextRCNN,RandomMask,SUM_Tanh,ARC,0.0,1,0,0,0,0.671875,0.671875,0.5700774430036444,0.5700774430036444,42.19169731142605,42.19169731142605
TextCNN,Idiom,SUM_Tanh,Economy,0.25,1,0,0,0,0.7651006711409396,0.7634228187919463,0.5149739583333334,0.5407642998836009,19.648345678040638,19.064060812266593
TextRCNN,Normal,SUM_Tanh,Twitter,0.0,1,0,0,0,0.9080882352941176,0.9154411764705882,0.8405814089790177,0.8455117915792073,18.683972638133138,19.082401870643416
TextCNN,RandomMask,SUM_Tanh,ARC,0.0,1,0,0,0,0.6484375,0.6484375,0.5101606626786482,0.5296655796505961,40.988152290259485,41.31222650399015
TextCNN,Noun,SUM_Tanh,Amazon,0.3,1,0,0,0,0.6983333333333334,0.71,0.6980305250542905,0.7091727580673917,16.145994907890625,16.26459977913158
TextCNN,Normal,SUM_Tanh,ARC,0.0,1,0,0,0,0.65625,0.6640625,0.5184665501738673,0.536376473132766,41.09452609824274,41.436966263302324
TextRCNN,Normal,SUM_Tanh,ARC,0.0,1,0,0,0,0.6796875,0.6796875,0.6010025062656642,0.6010025062656642,41.953924332613575,41.953924332613575
TextRCNN,Normal,SUM_Tanh,Amazon,0.2,1,0,0,0,0.73,0.7266666666666667,0.7295673076923077,0.7254464285714286,16.180467772802594,16.255222784227985
TextRCNN,Normal,SUM_Tanh,Economy,0.0,1,0,0,0,0.7986577181208053,0.7919463087248322,0.5371233302267785,0.44977515709223026,20.569344166023782,21.47941273649145
TextCNN,Normal,SUM_Tanh,SCIERC,0.0,1,0,0,0,0.5690376569037657,0.5913528591352859,0.39571390495255965,0.3735439125671964,37.305412795066,38.71966813255611
TextCNN,Idiom,SUM_Tanh,Parties,0.1,1,0,0,0,0.562624254473161,0.5834990059642147,0.5625512048520211,0.576314612388491,13.612640363224138,13.647213107458919
TextRCNN,Noun,SUM_Tanh,Twitter,0.0,1,0,0,0,0.9154411764705882,0.9154411764705882,0.8508451946689555,0.8455117915792073,18.74743933891673,19.019570532218914
TextRCNN,RandomMask,SUM_Tanh,Twitter,0.35,1,0,0,0,0.9080882352941176,0.9154411764705882,0.8405814089790177,0.8455117915792073,18.683972638133138,19.082401870643416
TextRCNN,Normal,SUM_Tanh,Parties,0.0,1,0,0,0,0.5909542743538767,0.5909542743538767,0.5895663726575213,0.5895663726575213,13.502747783681274,13.502747783681274
TextCNN,Idiom,SUM_Tanh,ChemProt,0.5,1,0,0,0,0.5470867208672087,0.5633468834688347,0.302921388999286,0.3112595905649606,49.01093193422133,49.24538905231818
TextCNN,RandomMask,SUM_Tanh,Twitter,1.0,1,0,0,0,0.8786764705882353,0.8823529411764706,0.8052717214448422,0.7552856500224921,18.252761210110002,19.474415076381092
TextCNN,Normal,SUM_Tanh,Amazon,0.7,1,0,0,0,0.7083333333333334,0.7116666666666667,0.7081509276631228,0.7109915107236628,16.107500692292554,16.195444397254136
TextCNN,Normal,SUM_Tanh,Economy,0.95,1,0,0,0,0.7785234899328859,0.7768456375838926,0.5515731874145007,0.5782158725091122,19.49859851093795,19.00760843934583
TextCNN,Normal,SUM_Tanh,ChemProt,0.5,1,0,0,0,0.5335365853658537,0.5755420054200542,0.30638241261445603,0.3207822183672318,48.66765839898823,49.29960206152625
TextCNN,Noun,SUM_Tanh,Twitter,1.0,1,0,0,0,0.8786764705882353,0.8933823529411765,0.7895674598523033,0.7978213507625272,19.164600921751486,19.526874465149856
TextRCNN,Keyword,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.7692307692307693,0.7692307692307693,0.7636363636363637,0.7636363636363637,17.450993842656057,17.450993842656057,2
TextCNN,Keyword,SUM_Tanh,HyperPartisan,0.0,1,0,0,0,0.7692307692307693,0.7846153846153846,0.739374498797113,0.7595137420718816,18.26216122137726,18.26216122137726,2
TextRCNN,Keyword,SUM_Tanh,Economy,0.0,1,0,0,0,0.7466442953020134,0.7651006711409396,0.594596177322504,0.5617186679273033,17.488611939860515,18.783792831885073,2
TextCNN,Normal,SUM_Tanh,Parties,0.0,1,0,0,0,0.5765407554671969,0.5765407554671969,0.5688918396909706,0.5688918396909706,13.84200946366246,13.84200946366246
TextCNN,Keyword,SUM_Tanh,Economy,0.9,1,0,0,0,0.7634228187919463,0.7600671140939598,0.5528453986750739,0.5579621071849051,18.893564023806714,18.721681373502147,2
TextRCNN,Noun,SUM_Tanh,Parties,0.0,1,0,0,0,0.5765407554671969,0.5765407554671969,0.5674297480620156,0.5674297480620156,13.73853346238699,13.73853346238699,1
TextRCNN,RandomMask,SUM_Tanh,Parties,0.0,1,0,0,0,0.5949304174950298,0.5949304174950298,0.5913242447269393,0.5913242447269393,13.635816774622276,13.635816774622276,1
TextRCNN,Keyword,SUM_Tanh,Amazon,0.35,1,0,0,0,0.7483333333333333,0.7483333333333333,0.7483158552677269,0.7483158552677269,16.150769732741445,16.150769732741445,2
TextCNN,Keyword,SUM_Tanh,Amazon,0.35,1,0,0,0,0.7066666666666667,0.7066666666666667,0.7063403781979978,0.7063403781979978,16.215898613215447,16.215898613215447,2
TextCNN,Noun,SUM_Tanh,Parties,0.1,1,0,0,0,0.5785288270377733,0.5750497017892644,0.576418949448607,0.5659704657265628,13.456450818101223,13.616870547524968,1
TextCNN,RandomMask,SUM_Tanh,Parties,0.15,1,0,0,0,0.5631212723658051,0.5710735586481114,0.5630425839702624,0.5609851435569955,13.558124867556051,13.628306574739046,1
TextCNN,Noun,SUM_Tanh,ARC,0.0,1,0,0,0,0.65625,0.6484375,0.517698785304419,0.5295926414879263,40.97673555302362,41.32871405111918,1
TextRCNN,Idiom,SUM_Tanh,ARC,0.0,1,0,0,0,0.65625,0.65625,0.5336579871463593,0.5336579871463593,41.70931456663969,41.70931456663969,1
TextRCNN,Noun,SUM_Tanh,ARC,0.0,1,0,0,0,0.65625,0.6640625,0.5579415954415955,0.565772669220945,41.726288515647525,41.726288515647525,1
TextCNN,Idiom,SUM_Tanh,Yelp_Hotel,0.95,1,0,0,0,0.6941226941226941,0.7061347061347061,0.5938909805095302,0.563053880895767,23.929305886971484,25.26140651052002
TextCNN,Normal,SUM_Tanh,Twitter,1.0,1,0,0,0,0.9007352941176471,0.9080882352941176,0.824905228524426,0.8108957423732585,18.94667541041222,19.520795838929665,1
TextRCNN,Keyword,SUM_Tanh,Parties,0.0,1,0,0,0,0.5839960238568589,0.5839960238568589,0.5784391792996015,0.5784391792996015,13.703101507508208,13.703101507508208,2
TextCNN,Noun,SUM_Tanh,Economy,0.9,1,0,0,0,0.7651006711409396,0.7667785234899329,0.5377080424617158,0.5472782814455355,19.249309550514834,19.183341024991616
TextRCNN,Idiom,SUM_Tanh,Parties,0.0,1,0,0,0,0.5929423459244533,0.5929423459244533,0.5876940861203793,0.5876940861203793,13.576724013966501,13.576724013966501,1
TextRCNN,Keyword,SUM_Tanh,Amazon,0.35,1,0,0,0,0.7483333333333333,0.7483333333333333,0.7483158552677269,0.7483158552677269,16.150769732741445,16.150769732741445,2
TextRCNN,Keyword,SUM_Tanh,News,0.05,1,0,0,0,0.763953983809118,0.7584149978696207,0.7618754122120196,0.7533092587521951,55.12045275234166,55.09983701385407,2
TextCNN,Keyword,SUM_Tanh,Amazon,0.35,1,0,0,0,0.7066666666666667,0.7066666666666667,0.7063403781979978,0.7063403781979978,16.215898613215447,16.215898613215447,2
TextRCNN,RandomMask,SUM_Tanh,ChemProt,0.75,1,0,0,0,0.6361788617886179,0.6531165311653117,0.38527084243727877,0.3896596955670914,49.806797842309855,50.01619641017921,1
TextRCNN,Keyword,SUM_Tanh,Parties,0.0,1,0,0,0,0.5839960238568589,0.5839960238568589,0.5784391792996015,0.5784391792996015,13.703101507508208,13.703101507508208,2
TextCNN,Keyword,SUM_Tanh,Parties,0.1,1,0,0,0,0.56610337972167,0.5849900596421471,0.5649184480318762,0.5757455614801759,13.532311260556865,13.72228940299144,2
TextCNN,Normal,SUM_Tanh,News,0.7,1,0,0,0,0.5888368129527056,0.5886237750319557,0.5905672855105387,0.5869694154880614,54.65127418209788,54.68032581305694
TextCNN,Idiom,SUM_Tanh,Parties,0.1,1,0,0,0,0.562624254473161,0.5834990059642147,0.5625512048520211,0.576314612388491,13.612640363224138,13.647213107458919,1
TextCNN,Keyword,SUM_Tanh,Parties,0.1,1,0,0,0,0.56610337972167,0.5849900596421471,0.5649184480318762,0.5757455614801759,13.532311260556865,13.72228940299144,2
TextCNN,RandomMask,SUM_Tanh,ChemProt,0.5,1,0,0,0,0.5447154471544715,0.5640243902439024,0.3007247250279051,0.3107640737140201,48.98188355968533,49.27943451242094,1
TextRCNN,Keyword,SUM_Tanh,ChemProt,0.4,1,0,0,0,0.6449864498644986,0.6449864498644986,0.3890107041486633,0.3890107041486633,49.911164017749975,49.911164017749975,2
TextRCNN,Keyword,SUM_Tanh,SCIERC,0.0,1,0,0,0,0.7377963737796374,0.7377963737796374,0.6275760550219234,0.6217026945558134,37.14738697008767,37.404419003355606,2
TextRCNN,Keyword,SUM_Tanh,ChemProt,0.4,1,0,0,0,0.6449864498644986,0.6449864498644986,0.3890107041486633,0.3890107041486633,49.911164017749975,49.911164017749975,2
TextCNN,Keyword,SUM_Tanh,SCIERC,0.25,1,0,0,0,0.5718270571827058,0.5941422594142259,0.3940280000578712,0.37698858670480956,37.22291650462371,38.86407734034431,2
TextCNN,Normal,SUM_Tanh,Yelp_Hotel,0.85,1,0,0,0,0.7038467038467039,0.7147147147147147,0.6052495476757668,0.5836465465644513,23.703736431617415,24.696028883412907
TextRCNN,Noun,SUM_Tanh,ChemProt,0.55,1,0,0,0,0.6273712737127372,0.6375338753387534,0.3784783206034782,0.376235789645305,49.906124697612874,50.10440290330895,1
TextCNN,Keyword,SUM_Tanh,ARC,0.0,1,0,0,0,0.671875,0.6796875,0.5233996850435206,0.5227614977614977,41.35774364353804,41.3666164911636,2
TextRCNN,Keyword,SUM_Tanh,Twitter,0.1,1,0,0,0,0.9117647058823529,0.9117647058823529,0.8456737588652482,0.8402349486049927,18.683972638133138,19.082401870643416,2
TextRCNN,Keyword,SUM_Tanh,SCIERC,0.0,1,0,0,0,0.7377963737796374,0.7377963737796374,0.6275760550219234,0.6217026945558134,37.14738697008767,37.404419003355606,2
TextCNN,Keyword,SUM_Tanh,Twitter,1.05,1,0,0,0,0.8933823529411765,0.8860294117647058,0.8086505106372657,0.7796304523952644,18.729429510083502,19.59628167657553,2
