Base_Model,Stereotype,Fusion,Dataset_Name,Sigma,Round,InitAcc,InitF1,InitFairness,FinalAcc,FinalBaseAcc,FinalF1,FinalBaseF1,FinalFairness,FinalBaseFairness
TextRCNN,Noun,SUM_Tanh,SCIERC,0.25,1,0.0,0.0,0,0.7405857740585774,0.7405857740585774,0.6279113799937315,0.6279113799937315,37.04514158097677,37.04514158097677
TextRCNN,Noun,SUM_Tanh,Economy,1.3,1,0.0,0.0,0,0.7986577181208053,0.7986577181208053,0.6073781291172596,0.6073781291172596,19.3436404436381,19.3436404436381
TextCNN,Noun,SUM_Tanh,Parties,0.1,1,0.0,0.0,0,0.5800198807157058,0.5800198807157058,0.5790414572879874,0.5790414572879874,13.555225813370548,13.555225813370548
TextRCNN,Noun,SUM_Tanh,Parties,0.0,1,0.0,0.0,0,0.6058648111332008,0.6058648111332008,0.5949010088145914,0.5949010088145914,13.822718108007331,13.822718108007331
TextCNN,Noun,SUM_Tanh,ChemProt,0.65,1,0.0,0.0,0,0.5555555555555556,0.5592818428184282,0.3246761568645745,0.3223784389629138,48.86835289002476,48.97839081897824
TextRCNN,Noun,SUM_Tanh,ChemProt,0.55,1,0.0,0.0,0,0.5738482384823849,0.6348238482384824,0.437939645813953,0.4007219054930111,49.5476258215736,49.84770607297777
TextCNN,Noun,SUM_Tanh,News,0.7,1,0.0,0.0,0,0.6007669365146996,0.6075841499786963,0.6004167160488978,0.6015885339773573,54.65289368015888,54.67424887910391
TextRCNN,Noun,SUM_Tanh,News,0.25,1,0.0,0.0,0,0.7701320835108649,0.7692799318278654,0.7686683343052404,0.7647724472888106,55.16268058952889,55.15427534999492
TextCNN,Noun,SUM_Tanh,Yelp_Hotel,0.85,1,0.0,0.0,0,0.6996996996996997,0.7004147004147004,0.6043655325491485,0.5741111846137038,23.856123602171174,24.77235001236124
TextCNN,Idiom,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.6796875,0.6953125,0.5711327522792717,0.601566687280973,41.37133946667333,41.53702668635521
TextCNN,Idiom,SUM_Tanh,ChemProt,0.65,1,0.0,0.0,0,0.5728319783197832,0.587059620596206,0.3261843594716229,0.3287836691499992,49.313018682681175,49.53087016918257
TextCNN,Idiom,SUM_Tanh,Parties,0.1,1,0.0,0.0,0,0.5820079522862823,0.5820079522862823,0.5791082903945148,0.5791082903945148,13.540329847921676,13.540329847921676
TextCNN,Idiom,SUM_Tanh,Amazon,1.3,1,0.0,0.0,0,0.7383333333333333,0.7383333333333333,0.7381696893892016,0.7381696893892016,16.299116427310555,16.28843291029121
TextRCNN,Idiom,SUM_Tanh,Amazon,0.6,1,0.0,0.0,0,0.7333333333333333,0.7366666666666667,0.731891505429197,0.7359154929577465,16.293018094798185,16.27762385273732
TextRCNN,Idiom,SUM_Tanh,SCIERC,0.1,1,0.0,0.0,0,0.7503486750348675,0.7503486750348675,0.6462247143624723,0.6462247143624723,36.93836907910325,36.93836907910325
TextRCNN,Idiom,SUM_Tanh,Twitter,0.35,1,0.0,0.0,0,0.9044117647058824,0.8897058823529411,0.8381989567127299,0.765382403680276,18.791915400838395,19.702927806432
TextRCNN,Idiom,SUM_Tanh,HyperPartisan,1.7,1,0.0,0.0,0,0.8,0.8,0.7833888746475264,0.7833888746475264,17.937192643133002,17.937192643133002
TextRCNN,Idiom,SUM_Tanh,ChemProt,0.05,1,0.0,0.0,0,0.6233062330623306,0.6436314363143631,0.4125257813792836,0.4218017308998049,49.41916769858025,49.71377231114116
TextRCNN,Idiom,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.703125,0.703125,0.6344426262449737,0.6389880807904283,41.43569304513311,41.43569304513311
TextCNN,Idiom,SUM_Tanh,Twitter,1.0,1,0.0,0.0,0,0.9117647058823528,0.9338235294117648,0.8456737588652482,0.8756981821874683,18.58427757305913,19.25443438623437
TextRCNN,Idiom,SUM_Tanh,Parties,0.0,1,0.0,0.0,0,0.5984095427435387,0.5984095427435387,0.592710509833396,0.592710509833396,13.691800949849528,13.691800949849528
TextCNN,Idiom,SUM_Tanh,HyperPartisan,0.3,1,0.0,0.0,0,0.8307692307692308,0.7384615384615385,0.8167136631632914,0.7292330311198236,18.041945510811257,17.542642484597643
TextCNN,Idiom,SUM_Tanh,SCIERC,0.25,1,0.0,0.0,0,0.6317991631799164,0.6499302649930265,0.4921583621712426,0.4847610325753145,37.27719041971967,38.91119937262189
TextRCNN,Idiom,SUM_Tanh,Economy,0.0,1,0.0,0.0,0,0.7919463087248322,0.790268456375839,0.6015355417529331,0.6035863463431506,19.1423208185577,19.022139574084218
TextCNN,Normal,SUM_Tanh,HyperPartisan,0.0,4,0.7384615384615385,0.7111111111111111,999999,0.8153846153846154,0.8153846153846154,0.7981366459627329,0.7981366459627329,17.928350202060585,17.928350202060585
TextRCNN,Normal,SUM_Tanh,HyperPartisan,0.0,4,0.7538461538461538,0.74,999999,0.7846153846153846,0.7846153846153846,0.7782651072124755,0.7782651072124755,17.51568210319941,17.51568210319941
TextCNN,Normal,SUM_Tanh,Twitter,1.6,4,0.8676470588235294,0.7685106382978724,999999,0.9117647058823528,0.9154411764705882,0.8402349486049927,0.8455117915792073,18.892074291937146,19.00767109712281
TextRCNN,Normal,SUM_Tanh,Twitter,0.0,4,0.9044117647058824,0.8299345902270103,999999,0.8897058823529411,0.8897058823529411,0.8002936857562408,0.8002936857562408,18.873568524004128,18.873568524004128
TextCNN,Normal,SUM_Tanh,ARC,0.0,4,0.6875,0.5150211867973425,999999,0.6953125,0.6875,0.5572159322159321,0.5247642327161778,41.49199108912815,41.6153588292252
TextCNN,Normal,SUM_Tanh,HyperPartisan,0.25,4,0.0,0.0,0,0.8153846153846154,0.8,0.8018292682926829,0.7871000251952632,18.18711267119617,17.98740404090946
TextRCNN,Normal,SUM_Tanh,ARC,0.05,4,0.65625,0.4852774229430799,999999,0.703125,0.703125,0.6380641145347028,0.6380641145347028,42.094120432708834,42.094120432708834
TextRCNN,Normal,SUM_Tanh,HyperPartisan,0.0,4,0.0,0.0,0,0.8,0.8,0.7902705385951849,0.7902705385951849,17.531365819157728,17.531365819157728
TextCNN,Normal,SUM_Tanh,Twitter,0.6,4,0.0,0.0,0,0.9154411764705882,0.9191176470588236,0.8533348962606964,0.8560984994228549,18.52446929359193,18.68976067623744
TextRCNN,Normal,SUM_Tanh,Twitter,0.0,4,0.0,0.0,0,0.9154411764705882,0.8786764705882353,0.8579956872091703,0.7191401483150286,18.91299098023707,19.96043820482586
TextCNN,Normal,SUM_Tanh,HyperPartisan,0.3,4,0.0,0.0,0,0.7692307692307693,0.7846153846153846,0.7450980392156863,0.7688008130081301,17.80528316168727,17.707124460551174
