Dataset,Model,Stereotype,N_GRAM,dev_maf1,test_acc,test_bacc,test_maf1,test_bmaf1,mark,BatchNo
Amazon,TextCNN,Noun,1,0.6714019067630852,0.7016666666666667,0.7066666666666667,0.7013007600977865,0.7066373303997067,31,40,0
SCIERC,TextCNN,Normal,1,0.22297960070705128,0.5801952580195258,0.6122733612273361,0.4275281617923527,0.4092064255121958,34,40,0
Economy,TextCNN,Normal,1,0.5306432038834953,0.785234899328859,0.7919463087248322,0.5609071025670542,0.5827744281101099,29,40,0
Amazon,TextCNN,Noun,1,0.7033333333333333,0.7133333333333334,0.72,0.7132536815782161,0.7196885428253615,32,40,0
SCIERC,TextCNN,Normal,1,0.258248659674642,0.5857740585774058,0.6080892608089261,0.41920319873750966,0.40726998857897817,35,40,0
Amazon,TextCNN,Noun,1,0.7047772410091251,0.7283333333333334,0.735,0.7265093023190781,0.7330714411623984,33,40,0
Economy,TextCNN,Normal,1,0.4882235601998426,0.7768456375838926,0.7751677852348994,0.5988603642583512,0.6006400640064007,30,40,0
SCIERC,TextCNN,Normal,1,0.2427364722834069,0.599721059972106,0.6415620641562064,0.46153595371768236,0.4672015438213696,36,40,0
Amazon,TextCNN,Noun,1,0.6965823839955543,0.7383333333333333,0.735,0.7375393899880471,0.7341959427267484,34,40,0
SCIERC,TextCNN,Normal,1,0.2608469781708024,0.5843793584379359,0.6052998605299861,0.4727900783161315,0.4403769309898272,37,40,0
Economy,TextCNN,Normal,1,0.5426814622664169,0.7768456375838926,0.7802013422818792,0.5707051834040087,0.5881350657023638,31,40,0
SCIERC,TextCNN,Normal,1,0.25658344933473426,0.6094839609483961,0.6304044630404463,0.437897329652083,0.41367722940264656,38,40,0
Amazon,TextCNN,Noun,1,0.7211826086956521,0.6833333333333333,0.6833333333333333,0.6832453459294249,0.6820580327759123,35,40,0
Economy,TextCNN,Normal,1,0.527583469043576,0.7869127516778524,0.785234899328859,0.597243727884641,0.5992856392478201,32,40,0
SCIERC,TextCNN,Normal,1,0.2690592386633391,0.6290097629009763,0.6457461645746164,0.46079180605798287,0.46766792765134807,39,40,0
Amazon,TextCNN,Noun,1,0.6998365776922991,0.7283333333333334,0.735,0.728060638584803,0.734462286129412,36,40,0
Economy,TextCNN,Normal,1,0.5390217447445896,0.7734899328859061,0.7701342281879194,0.5895212101114711,0.5900818812094925,33,40,0
SCIERC,TextCNN,Normal,1,0.2613346450033268,0.6317991631799164,0.6317991631799164,0.4327630454242593,0.4327630454242593,40,40,0
Amazon,TextCNN,Noun,1,0.7074515781922526,0.7266666666666667,0.7266666666666667,0.7265572895824997,0.7265572895824997,37,40,0
Economy,TextCNN,Normal,1,0.5647272217100252,0.7567114093959731,0.7567114093959731,0.5885839423008259,0.5885839423008259,34,40,0
Amazon,TextCNN,Noun,1,0.6898311302820426,0.7033333333333334,0.7016666666666667,0.7022614746420448,0.6985508548076086,38,40,0
Economy,TextCNN,Normal,1,0.5333333333333334,0.7802013422818792,0.7802013422818792,0.5881350657023638,0.5881350657023638,35,40,0
Amazon,TextCNN,Noun,1,0.7104761904761905,0.7233333333333334,0.7233333333333334,0.7209020803443329,0.7207236510055071,39,40,0
News,TextRCNN,Noun,1,0.7543929789158432,0.766084363016617,0.7650191734128675,0.7650985073062336,0.7609513185103018,4,40,0
Economy,TextCNN,Normal,1,0.5261612703846337,0.790268456375839,0.7919463087248322,0.5365041839051855,0.5427185427185427,36,40,0
Amazon,TextCNN,Noun,1,0.6916658101828062,0.7016666666666667,0.7,0.7009680949106106,0.6991442324835088,40,40,0
Economy,TextCNN,Normal,1,0.5027420407615493,0.75,0.7416107382550335,0.5315429373255894,0.5336463223787168,37,40,0
Economy,TextCNN,Normal,1,0.5502185391693807,0.7600671140939598,0.7399328859060402,0.5616181878970244,0.5782794275410286,38,40,0
Economy,TextCNN,Normal,1,0.5130554775658449,0.7751677852348994,0.7734899328859061,0.5908941890009016,0.605385124696535,39,40,0
Economy,TextCNN,Normal,1,0.4762064176957794,0.7768456375838926,0.7768456375838926,0.5322179929774866,0.5322179929774866,40,40,0
News,TextRCNN,Noun,1,0.7371254932387408,0.7652322113336174,0.7582019599488709,0.7636253460967455,0.7519590079220724,5,40,0
News,TextRCNN,Noun,1,0.678763154796729,0.7618236046016191,0.7594801874733702,0.7631795206445278,0.75621074485423,6,40,0
News,TextRCNN,Noun,1,0.6784981187161636,0.7505325948018747,0.7505325948018747,0.751461976681555,0.7465037369167264,7,40,0
News,TextRCNN,Noun,1,0.670776594260591,0.7677886663826161,0.7648061354921176,0.7645650395311834,0.7573184257043223,8,40,0
News,TextRCNN,Noun,1,0.6443168193535942,0.7667234767788667,0.768001704303366,0.7640443366871686,0.7608280607947232,9,40,0
News,TextRCNN,Noun,1,0.6863418041084676,0.7626757562846187,0.7588410737111205,0.7645196547979196,0.7556153100994045,10,40,0
News,TextRCNN,Noun,1,0.6070931871016783,0.7462718363868769,0.747976139752876,0.7513843008215144,0.7448838394121756,11,40,0
News,TextRCNN,Noun,1,0.6431108904426962,0.753941201533873,0.7545803152961227,0.7528931709690674,0.7508049949983568,12,40,0
News,TextRCNN,Noun,1,0.618729343307482,0.7697060076693651,0.7652322113336174,0.7659048349345495,0.7566156512688943,13,40,0
News,TextRCNN,Noun,1,0.6011645727175441,0.764167021729868,0.7673625905411163,0.762205623660192,0.7613477481775083,14,40,0
News,TextRCNN,Noun,1,0.6529123891849286,0.7645930975713677,0.7607584149978697,0.7605780143950525,0.7541867752622986,15,40,0
News,TextRCNN,Noun,1,0.6120095604064091,0.7701320835108649,0.7692799318278654,0.7686683343052404,0.7647724472888106,16,40,0
News,TextRCNN,Noun,1,0.6115579516443603,0.7690668939071155,0.7677886663826161,0.7657644472318026,0.7609770723950514,17,40,0
News,TextRCNN,Noun,1,0.682338218300549,0.7533020877716233,0.7515977844056242,0.7553873283958693,0.7498070089840583,18,40,0
News,TextRCNN,Noun,1,0.7172888630781582,0.7690668939071155,0.7684277801448658,0.7658606563996806,0.7602700929111708,19,40,0
News,TextRCNN,Noun,1,0.6716336052345493,0.7490413293566255,0.7526629740093737,0.7505030869576135,0.750640107811288,20,40,0
News,TextRCNN,Noun,1,0.6943192453540431,0.7613975287601193,0.7590541116318704,0.7611466405290452,0.7542692494034797,21,40,0
News,TextRCNN,Noun,1,0.667676113353716,0.7571367703451214,0.7550063911376225,0.7610812214384146,0.7494057109623747,22,40,0
News,TextRCNN,Noun,1,0.7275537580668254,0.7537281636131231,0.7522368981678739,0.7476783536124919,0.7436216660423178,23,40,0
News,TextRCNN,Noun,1,0.6933893540061852,0.76011930123562,0.7550063911376225,0.7564022848474191,0.74784534387937,24,40,0
News,TextRCNN,Noun,1,0.6705629326962759,0.7607584149978697,0.7582019599488709,0.7601373548046899,0.753891207893765,25,40,0
News,TextRCNN,Noun,1,0.6238054901719834,0.7677886663826161,0.7628887942053686,0.7633452509750963,0.7571868494365754,26,40,0
News,TextRCNN,Noun,1,0.718653474630442,0.7528760119301235,0.7492543672773754,0.7489601141191112,0.7439654860140396,27,40,0
News,TextRCNN,Noun,1,0.6559721851958784,0.7677886663826161,0.7603323391563699,0.7666027092452184,0.7559553866465859,28,40,0
News,TextRCNN,Noun,1,0.6887733443840782,0.7524499360886238,0.7537281636131231,0.7513827815690105,0.7482381939097189,29,40,0
