Base_Model,Dataset_Name,Init_ACC,Init_F1,Init_Word_Fairness,InitEpoch
TextCNN,Yelp_Hotel,0.7042757042757043,0.5837935141698591,24.38423920415911
TextCNN,News,0.5826587132509586,0.5831019425936546,54.66945114520077
TextCNN,Amazon,0.7416666666666667,0.7411424801890495,16.22830100533578
TextCNN,Parties,0.5720675944333996,0.5671246719386374,13.291699267847996
TextCNN,ChemProt,0.5558943089430894,0.3077693838127227,49.34571644961917
TextRCNN,Parties,0.6227634194831014,0.6183236671327936,13.539135950383955
TextRCNN,News,0.7605453770771198,0.759006114129197,55.09734319550036
TextRCNN,Yelp_Hotel,0.7603317603317603,0.6418119609479332,24.445818974989354
TextCNN,ARC,0.6796875,0.5288827304672375,42.03656026093577,40
TextRCNN,Twitter,0.9080882352941176,0.8350435436528152,18.942713084285153,40
TextRCNN,ARC,0.6953125,0.5690489147710329,41.446255335327855,40
TextCNN,Twitter,0.9044117647058824,0.820452929826343,19.458007258464573,40
TextRCNN,HyperPartisan,0.7692307692307693,0.7636363636363637,17.478048156585206,40
TextRCNN,SCIERC,0.7531380753138075,0.6248153292730924,37.93524004944655,40
TextCNN,HyperPartisan,0.7538461538461538,0.7251585623678647,18.36044825134902,40
TextCNN,SCIERC,0.6080892608089261,0.44807663852084495,37.65443042583579,40
TextRCNN,Amazon,0.7433333333333333,0.7431506849315069,16.210423920616233,40
TextRCNN,Economy,0.7651006711409396,0.6013225541348929,17.857358942815157,40
TextCNN,Economy,0.7550335570469798,0.5811705814401232,18.323975907889444,40
TextRCNN,ChemProt,0.6446476964769647,0.39942699313673913,49.65790691240227,40
TextRCNN,News,0.7737537281636131,0.7709500915881191,55.13919027458003,40
TextRCNN,ChemProt,0.356029810298103,0.04907166645307149,55.24445756394694,1
TextRCNN,Yelp_Hotel,0.5080795080795081,0.2683114242565336,30.323186472301288,1
TextRCNN,Yelp_Hotel,0.5080795080795081,0.2683114242565336,30.323186472301288,1
TextCNN,SCIERC,0.5411436541143654,0.18245479310926577,43.020781248772586,1
