Base_Model,Stereotype,Fusion,Dataset_Name,Sigma,Round,InitAcc,InitF1,InitFairness,FinalAcc,FinalBaseAcc,FinalF1,FinalBaseF1,FinalFairness,FinalBaseFairness
TextRCNN,RandomMask,SUM_Tanh,Amazon,1.3,1,0,0,0,0.7366666666666667,0.74,0.7360919335441629,0.7396499738537368,16.267962864010407,16.34048095924184,20,1
TextRCNN,Noun,SUM_Tanh,Amazon,0.0,1,0,0,0,0.7316666666666667,0.7316666666666667,0.7311221890995933,0.7316659212942258,16.229993795768895,16.217855181070384,20,1
TextRCNN,Normal,SUM_Tanh,Amazon,0.55,1,0,0,0,0.7316666666666667,0.7316666666666667,0.7312000000000001,0.7312000000000001,16.33060602157408,16.33060602157408,20,1
TextRCNN,Keyword,SUM_Tanh,Amazon,1.8,1,0,0,0,0.745,0.7483333333333333,0.7449426120877196,0.7478956521739129,16.174169188031815,16.270134084426665,20,1
TextRCNN,RandomMask,SUM_Tanh,Economy,2.0,1,0,0,0,0.7483221476510067,0.7936241610738255,0.6350901253918496,0.5993901339410135,16.92122020850715,19.06944907182244,20,1
TextRCNN,Normal,SUM_Tanh,Economy,0.0,1,0,0,0,0.7802013422818792,0.7969798657718121,0.6550423045485675,0.49461438732961915,17.7894506334527,21.054559273372806,20,1
TextRCNN,Noun,SUM_Tanh,Economy,0.1,1,0,0,0,0.8053691275167785,0.7936241610738255,0.6696672591403399,0.4862609061284558,18.633771277923532,20.85568661263913,20,1
TextRCNN,Keyword,SUM_Tanh,Economy,1.55,1,0,0,0,0.7550335570469798,0.7936241610738255,0.6575413629708925,0.5053140879000749,16.566915098128792,20.936840294850427,20,1
TextRCNN,Idiom,SUM_Tanh,Amazon,0.25,1,0,0,0,0.7433333333333333,0.7466666666666667,0.7433304814497939,0.7464863903220067,16.226123382382582,16.26437972066243,20,1
TextRCNN,Idiom,SUM_Tanh,Economy,1.15,1,0,0,0,0.7583892617449665,0.8070469798657718,0.6605278146952724,0.591359769148676,17.307784937323866,19.76632771753415,20,1
TextCNN,Noun,SUM_Tanh,Amazon,0.75,1,0,0,0,0.7316666666666667,0.7233333333333334,0.7314988534500729,0.7224420639609412,16.267181140953884,16.424256782491884,20,1
TextCNN,RandomMask,SUM_Tanh,Amazon,1.15,1,0,0,0,0.705,0.6983333333333334,0.7049008138846667,0.6963078755813075,16.20818369021811,16.487086811969995,20,1
TextCNN,Normal,SUM_Tanh,Amazon,0.75,1,0,0,0,0.7233333333333334,0.6766666666666666,0.7232564601278132,0.6722050126724866,16.155134635662787,16.50969580604593,20,1
TextCNN,Keyword,SUM_Tanh,Amazon,0.5,1,0,0,0,0.7266666666666667,0.7266666666666667,0.7264204450672271,0.7259816207184628,16.278213580261802,16.33303888833451,20,1
TextCNN,RandomMask,SUM_Tanh,Economy,0.25,1,0,0,0,0.7197986577181208,0.790268456375839,0.5857924634303668,0.4414245548266167,16.852648914135983,21.576155433880274,20,1
TextCNN,Normal,SUM_Tanh,Economy,0.25,1,0,0,0,0.7802013422818792,0.7701342281879194,0.5733342076932745,0.5692710229101057,19.19774438097569,18.998000776887007,20,1
TextCNN,Keyword,SUM_Tanh,Economy,1.5,1,0,0,0,0.7885906040268457,0.7885906040268457,0.6244824482448246,0.6302802339549813,18.578667820737955,18.53767565852038,20,1
TextCNN,Noun,SUM_Tanh,Economy,1.75,1,0,0,0,0.7701342281879194,0.7953020134228188,0.5932996956671166,0.4661066729323308,18.843834250326267,21.33576134332424,20,1
TextCNN,Idiom,SUM_Tanh,Amazon,0.6,1,0,0,0,0.7383333333333333,0.7466666666666667,0.7380123985215221,0.7466554069069735,16.212221619990608,16.197188092709784,20,1
TextCNN,Idiom,SUM_Tanh,Economy,0.95,1,0,0,0,0.7785234899328859,0.7734899328859061,0.5795549284935548,0.6023426495663133,19.271214623482418,18.524888072068375,20,1
TextRCNN,Noun,SUM_Tanh,Parties,0.0,1,0,0,0,0.5715705765407555,0.5715705765407555,0.5707116061112206,0.5707116061112206,13.9139746789357,13.9139746789357,20,1
TextRCNN,Normal,SUM_Tanh,Parties,0.0,1,0,0,0,0.5924453280318092,0.5924453280318092,0.5873303638248231,0.5873303638248231,13.566691206003515,13.566691206003515,20,1
TextRCNN,RandomMask,SUM_Tanh,Parties,0.0,1,0,0,0,0.6058648111332008,0.6058648111332008,0.6010514832209513,0.6010514832209513,13.749018349193934,13.749018349193934,20,1
TextRCNN,Keyword,SUM_Tanh,Parties,0.0,1,0,0,0,0.6272365805168986,0.6272365805168986,0.6168027791321307,0.6168027791321307,13.889401300125062,13.889401300125062,20,1
TextRCNN,Idiom,SUM_Tanh,Parties,0.0,1,0,0,0,0.6277335984095428,0.6277335984095428,0.6218484506076696,0.6218484506076696,13.752980883844291,13.752980883844291,20,1
TextCNN,RandomMask,SUM_Tanh,SCIERC,0.2,1,0,0,0,0.6499302649930265,0.6527196652719666,0.47866854520121943,0.4374013220738157,39.49560601001684,40.32506135249786,20,1
TextCNN,Normal,SUM_Tanh,SCIERC,0.2,1,0,0,0,0.601115760111576,0.6290097629009763,0.4124764949486327,0.4032979396375219,39.32076104267567,40.236357372111584,20,1
TextCNN,Keyword,SUM_Tanh,SCIERC,0.65,1,0,0,0,0.6513249651324965,0.6513249651324965,0.4341555097808924,0.4341555097808924,40.6408590694731,40.6408590694731,20,1
TextRCNN,RandomMask,SUM_Tanh,SCIERC,0.05,1,0,0,0,0.694560669456067,0.6903765690376569,0.4914332510595941,0.46115703319964074,39.92485294790035,40.62276648918938,20,1
